Codigo_ID,Categoria,Tipo_Pieza,Material,Diametro_mm,Diametro_pulg,Resistencia,Union,Peso_valor,Peso_unidad,Precio_sin_IVA_CLP,Origen_precio,Descripcion
01-01-001-160-048,Tuberias,Tuberia,Acero carbono,48,1 1/2,SCH160,S/R,7.25,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 48,3 mm (1 1/2"") SCH160 L = 6 m"
01-01-001-001-060,Tuberias,Tuberia,Acero carbono,60,2,STD,S/R,5.44,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 60,3 mm (2"") STD L = 6 m"
01-01-001-040-060,Tuberias,Tuberia,Acero carbono,60,2,SCH40,S/R,5.44,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 60,3 mm (2"") SCH40 L = 6 m"
01-01-001-081-060,Tuberias,Tuberia,Acero carbono,60,2,XS,S/R,7.48,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 60,3 mm (2"") XS L = 6 m"
01-01-001-080-060,Tuberias,Tuberia,Acero carbono,60,2,SCH80,S/R,7.48,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 60,3 mm (2"") SCH80 L = 6 m"
01-01-001-160-060,Tuberias,Tuberia,Acero carbono,60,2,SCH160,S/R,11.11,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 60,3 mm (2"") SCH160 L = 6 m"
01-01-001-001-073,Tuberias,Tuberia,Acero carbono,73,2 1/2,STD,S/R,8.63,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 73 mm (2 1/2"") STD L = 6 m"
01-01-001-040-073,Tuberias,Tuberia,Acero carbono,73,2 1/2,SCH40,S/R,8.63,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 73 mm (2 1/2"") SCH40 L = 6 m"
01-01-001-081-073,Tuberias,Tuberia,Acero carbono,73,2 1/2,XS,S/R,11.41,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 73 mm (2 1/2"") XS L = 6 m"
01-01-001-080-073,Tuberias,Tuberia,Acero carbono,73,2 1/2,SCH80,S/R,11.41,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 73 mm (2 1/2"") SCH80 L = 6 m"
01-01-001-160-073,Tuberias,Tuberia,Acero carbono,73,2 1/2,SCH160,S/R,14.92,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 73 mm (2 1/2"") SCH160 L = 6 m"
01-01-001-001-089,Tuberias,Tuberia,Acero carbono,88,3,STD,S/R,11.29,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 88,9 mm (3"") STD L = 6 m"
01-01-001-040-089,Tuberias,Tuberia,Acero carbono,88,3,SCH40,S/R,11.29,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 88,9 mm (3"") SCH40 L = 6 m"
01-01-001-081-089,Tuberias,Tuberia,Acero carbono,88,3,XS,S/R,15.27,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 88,9 mm (3"") XS L = 6 m"
01-01-001-080-089,Tuberias,Tuberia,Acero carbono,88,3,SCH80,S/R,15.27,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 88,9 mm (3"") SCH80 L = 6 m"
01-01-001-160-089,Tuberias,Tuberia,Acero carbono,88,3,SCH160,S/R,21.35,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 88,9 mm (3"") SCH160 L = 6 m"
01-01-001-001-114,Tuberias,Tuberia,Acero carbono,114,4,STD,S/R,16.07,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 114,3 mm (4"") STD L = 6 m"
01-01-001-040-114,Tuberias,Tuberia,Acero carbono,114,4,SCH40,S/R,16.07,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 114,3 mm (4"") SCH40 L = 6 m"
01-01-001-081-114,Tuberias,Tuberia,Acero carbono,114,4,XS,S/R,22.32,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 114,3 mm (4"") XS L = 6 m"
01-01-001-080-114,Tuberias,Tuberia,Acero carbono,114,4,SCH80,S/R,22.32,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 114,3 mm (4"") SCH80 L = 6 m"
01-01-001-160-114,Tuberias,Tuberia,Acero carbono,114,4,SCH160,S/R,33.54,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 114,3 mm (4"") SCH160 L = 6 m"
01-01-001-001-141,Tuberias,Tuberia,Acero carbono,141,5,STD,S/R,21.77,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 141,3 mm (5"") STD L = 6 m"
01-01-001-040-141,Tuberias,Tuberia,Acero carbono,141,5,SCH40,S/R,21.77,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 141,3 mm (5"") SCH40 L = 6 m"
01-01-001-081-141,Tuberias,Tuberia,Acero carbono,141,5,XS,S/R,30.97,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 141,3 mm (5"") XS L = 6 m"
01-01-001-080-141,Tuberias,Tuberia,Acero carbono,141,5,SCH80,S/R,30.97,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 141,3 mm (5"") SCH80 L = 6 m"
01-01-001-160-141,Tuberias,Tuberia,Acero carbono,141,5,SCH160,S/R,49.12,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 141,3 mm (5"") SCH160 L = 6 m"
01-01-001-001-168,Tuberias,Tuberia,Acero carbono,168,6,STD,S/R,28.26,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 168,3 mm (6"") STD L = 6 m"
01-01-001-040-168,Tuberias,Tuberia,Acero carbono,168,6,SCH40,S/R,28.26,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 168,3 mm (6"") SCH40 L = 6 m"
01-01-001-081-168,Tuberias,Tuberia,Acero carbono,168,6,XS,S/R,42.56,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 168,3 mm (6"") XS L = 6 m"
01-01-001-080-168,Tuberias,Tuberia,Acero carbono,168,6,SCH80,S/R,42.56,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 168,3 mm (6"") SCH80 L = 6 m"
01-01-001-160-168,Tuberias,Tuberia,Acero carbono,168,6,SCH160,S/R,67.57,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 168,3 mm (6"") SCH160 L = 6 m"
01-01-001-001-219,Tuberias,Tuberia,Acero carbono,219,8,STD,S/R,42.55,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 219,1 mm (8"") STD L = 6 m"
01-01-001-040-219,Tuberias,Tuberia,Acero carbono,219,8,SCH40,S/R,42.55,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 219,1 mm (8"") SCH40 L = 6 m"
01-01-001-081-219,Tuberias,Tuberia,Acero carbono,219,8,XS,S/R,64.64,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 219,1 mm (8"") XS L = 6 m"
01-01-001-080-219,Tuberias,Tuberia,Acero carbono,219,8,SCH80,S/R,64.64,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 219,1 mm (8"") SCH80 L = 6 m"
01-01-001-160-219,Tuberias,Tuberia,Acero carbono,219,8,SCH160,S/R,111.27,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 219,1 mm (8"") SCH160 L = 6 m"
01-01-001-001-273,Tuberias,Tuberia,Acero carbono,273,10,STD,S/R,60.29,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 273 mm (10"") STD L = 6 m"
01-01-001-040-273,Tuberias,Tuberia,Acero carbono,273,10,SCH40,S/R,60.29,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 273 mm (10"") SCH40 L = 6 m"
01-01-001-081-273,Tuberias,Tuberia,Acero carbono,273,10,XS,S/R,81.55,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 273 mm (10"") XS L = 6 m"
01-01-001-080-273,Tuberias,Tuberia,Acero carbono,273,10,SCH80,S/R,95.98,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 273 mm (10"") SCH80 L = 6 m"
01-01-001-160-273,Tuberias,Tuberia,Acero carbono,273,10,SCH160,S/R,172.27,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 273 mm (10"") SCH160 L = 6 m"
01-01-001-001-324,Tuberias,Tuberia,Acero carbono,323,12,STD,S/R,73.88,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 323,8 mm (12"") STD L = 6 m"
01-01-001-040-324,Tuberias,Tuberia,Acero carbono,323,12,SCH40,S/R,79.71,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 323,8 mm (12"") SCH40 L = 6 m"
01-01-001-081-324,Tuberias,Tuberia,Acero carbono,323,12,XS,S/R,97.46,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 323,8 mm (12"") XS L = 6 m"
01-01-001-080-324,Tuberias,Tuberia,Acero carbono,323,12,SCH80,S/R,132.05,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 323,8 mm (12"") SCH80 L = 6 m"
01-01-001-160-324,Tuberias,Tuberia,Acero carbono,323,12,SCH160,S/R,238.69,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 323,8 mm (12"") SCH160 L = 6 m"
01-01-001-001-356,Tuberias,Tuberia,Acero carbono,355,14,STD,S/R,81.33,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 355,6 mm (14"") STD L = 6 m"
01-01-001-040-356,Tuberias,Tuberia,Acero carbono,355,14,SCH40,S/R,94.55,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 355,6 mm (14"") SCH40 L = 6 m"
01-01-001-081-356,Tuberias,Tuberia,Acero carbono,355,14,XS,S/R,107.39,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 355,6 mm (14"") XS L = 6 m"
01-01-001-080-356,Tuberias,Tuberia,Acero carbono,355,14,SCH80,S/R,158.11,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 355,6 mm (14"") SCH80 L = 6 m"
01-01-001-160-356,Tuberias,Tuberia,Acero carbono,355,14,SCH160,S/R,281.72,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 355,6 mm (14"") SCH160 L = 6 m"
01-01-001-001-406,Tuberias,Tuberia,Acero carbono,406,16,STD,S/R,93.27,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 406,4 mm (16"") STD L = 6 m"
01-01-001-040-406,Tuberias,Tuberia,Acero carbono,406,16,SCH40,S/R,123.31,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 406,4 mm (16"") SCH40 L = 6 m"
01-01-001-081-406,Tuberias,Tuberia,Acero carbono,406,16,XS,S/R,123.3,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 406,4 mm (16"") XS L = 6 m"
01-01-001-080-406,Tuberias,Tuberia,Acero carbono,406,16,SCH80,S/R,203.54,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 406,4 mm (16"") SCH80 L = 6 m"
01-01-001-160-406,Tuberias,Tuberia,Acero carbono,406,16,SCH160,S/R,365.38,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 406,4 mm (16"") SCH160 L = 6 m"
01-01-001-001-457,Tuberias,Tuberia,Acero carbono,457,18,STD,S/R,105.16,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 457 mm (18"") STD L = 6 m"
01-01-001-040-457,Tuberias,Tuberia,Acero carbono,457,18,SCH40,S/R,155.81,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 457 mm (18"") SCH40 L = 6 m"
01-01-001-081-457,Tuberias,Tuberia,Acero carbono,457,18,XS,S/R,139.15,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 457 mm (18"") XS L = 6 m"
01-01-001-080-457,Tuberias,Tuberia,Acero carbono,457,18,SCH80,S/R,254.57,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 457 mm (18"") SCH80 L = 6 m"
01-01-001-160-457,Tuberias,Tuberia,Acero carbono,457,18,SCH160,S/R,459.39,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 457 mm (18"") SCH160 L = 6 m"
01-01-001-001-508,Tuberias,Tuberia,Acero carbono,508,20,STD,S/R,117.15,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 508 mm (20"") STD L = 6 m"
01-01-001-040-508,Tuberias,Tuberia,Acero carbono,508,20,SCH40,S/R,183.43,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 508 mm (20"") SCH40 L = 6 m"
01-01-001-081-508,Tuberias,Tuberia,Acero carbono,508,20,XS,S/R,155.12,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 508 mm (20"") XS L = 6 m"
01-01-001-080-508,Tuberias,Tuberia,Acero carbono,508,20,SCH80,S/R,311.19,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 508 mm (20"") SCH80 L = 6 m"
01-01-001-160-508,Tuberias,Tuberia,Acero carbono,508,20,SCH160,S/R,564.85,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 508 mm (20"") SCH160 L = 6 m"
01-01-001-001-559,Tuberias,Tuberia,Acero carbono,559,22,STD,S/R,129.13,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 559 mm (22"") STD L = 6 m"
01-01-001-081-559,Tuberias,Tuberia,Acero carbono,559,22,XS,S/R,171.09,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 559 mm (22"") XS L = 6 m"
01-01-001-080-559,Tuberias,Tuberia,Acero carbono,559,22,SCH80,S/R,373.85,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 559 mm (22"") SCH80 L = 6 m"
01-01-001-160-559,Tuberias,Tuberia,Acero carbono,559,22,SCH160,S/R,672.3,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 559 mm (22"") SCH160 L = 6 m"
01-01-001-001-610,Tuberias,Tuberia,Acero carbono,610,24,STD,S/R,141.12,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 610 mm (24"") STD L = 6 m"
01-01-001-040-610,Tuberias,Tuberia,Acero carbono,610,24,SCH40,S/R,255.43,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 610 mm (24"") SCH40 L = 6 m"
01-01-001-081-610,Tuberias,Tuberia,Acero carbono,610,24,XS,S/R,187.06,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 610 mm (24"") XS L = 6 m"
01-01-001-080-610,Tuberias,Tuberia,Acero carbono,610,24,SCH80,S/R,442.11,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 610 mm (24"") SCH80 L = 6 m"
01-01-001-160-610,Tuberias,Tuberia,Acero carbono,610,24,SCH160,S/R,808.27,kg/m,,,"TUBERIA ACERO CARB. S/R DE/DN 610 mm (24"") SCH160 L = 6 m"
01-03-001-017-020,Tuberias,Tuberia,HDPE,20,1/2,PN10,TF,0.067,kg/m,,,"TUBERIA HDPE TF DE/DN 20 mm (1/2"") PN10 L = 12 m"
01-03-001-017-025,Tuberias,Tuberia,HDPE,25,3/4,PN10,TF,0.104,kg/m,,,"TUBERIA HDPE TF DE/DN 25 mm (3/4"") PN10 L = 12 m"
01-03-001-017-032,Tuberias,Tuberia,HDPE,32,1,PN10,TF,0.19,kg/m,,,"TUBERIA HDPE TF DE/DN 32 mm (1"") PN10 L = 12 m"
01-03-001-017-040,Tuberias,Tuberia,HDPE,40,1 1/4,PN10,TF,0.29,kg/m,,,"TUBERIA HDPE TF DE/DN 40 mm (1 1/4"") PN10 L = 12 m"
01-03-001-017-050,Tuberias,Tuberia,HDPE,50,1 1/2,PN10,TF,0.45,kg/m,,,"TUBERIA HDPE TF DE/DN 50 mm (1 1/2"") PN10 L = 12 m"
01-03-001-017-063,Tuberias,Tuberia,HDPE,63,2,PN10,TF,0.72,kg/m,,,"TUBERIA HDPE TF DE/DN 63 mm (2"") PN10 L = 12 m"
01-03-001-017-075,Tuberias,Tuberia,HDPE,75,2 1/2,PN10,TF,1.02,kg/m,114000.0,Megacenter,"TUBERIA HDPE TF DE/DN 75 mm (2 1/2"") PN10 L = 12 m"
01-03-001-017-090,Tuberias,Tuberia,HDPE,90,3,PN10,TF,1.46,kg/m,171000.0,Megacenter,"TUBERIA HDPE TF DE/DN 90 mm (3"") PN10 L = 12 m"
01-03-001-017-110,Tuberias,Tuberia,HDPE,110,4,PN10,TF,2.17,kg/m,242244.0,Megacenter,"TUBERIA HDPE TF DE/DN 110 mm (4"") PN10 L = 12 m"
01-03-001-017-125,Tuberias,Tuberia,HDPE,125,5,PN10,TF,2.77,kg/m,313500.0,Megacenter,"TUBERIA HDPE TF DE/DN 125 mm (5"") PN10 L = 12 m"
01-03-001-017-140,Tuberias,Tuberia,HDPE,140,5 1/2,PN10,TF,3.48,kg/m,399000.0,Megacenter,"TUBERIA HDPE TF DE/DN 140 mm (5 1/2"") PN10 L = 12 m"
01-03-001-017-160,Tuberias,Tuberia,HDPE,160,6,PN10,TF,4.55,kg/m,527256.0,Megacenter,"TUBERIA HDPE TF DE/DN 160 mm (6"") PN10 L = 12 m"
01-03-001-017-180,Tuberias,Tuberia,HDPE,180,7,PN10,TF,5.75,kg/m,655500.0,Megacenter,"TUBERIA HDPE TF DE/DN 180 mm (7"") PN10 L = 12 m"
01-03-001-017-200,Tuberias,Tuberia,HDPE,200,8,PN10,TF,7.09,kg/m,812244.0,Megacenter,"TUBERIA HDPE TF DE/DN 200 mm (8"") PN10 L = 12 m"
01-03-001-017-225,Tuberias,Tuberia,HDPE,225,9,PN10,TF,9.0,kg/m,1026000.0,Megacenter,"TUBERIA HDPE TF DE/DN 225 mm (9"") PN10 L = 12 m"
01-03-001-017-250,Tuberias,Tuberia,HDPE,250,10,PN10,TF,11.03,kg/m,1068744.0,Megacenter,"TUBERIA HDPE TF DE/DN 250 mm (10"") PN10 L = 12 m"
01-03-001-017-280,Tuberias,Tuberia,HDPE,280,11,PN10,TF,13.85,kg/m,1596000.0,Megacenter,"TUBERIA HDPE TF DE/DN 280 mm (11"") PN10 L = 12 m"
01-03-001-017-315,Tuberias,Tuberia,HDPE,315,12,PN10,TF,17.54,kg/m,1866744.0,Megacenter,"TUBERIA HDPE TF DE/DN 315 mm (12"") PN10 L = 12 m"
01-03-001-017-355,Tuberias,Tuberia,HDPE,355,14,PN10,TF,22.33,kg/m,,,"TUBERIA HDPE TF DE/DN 355 mm (14"") PN10 L = 12 m"
01-03-001-017-400,Tuberias,Tuberia,HDPE,400,16,PN10,TF,28.22,kg/m,,,"TUBERIA HDPE TF DE/DN 400 mm (16"") PN10 L = 12 m"
01-03-001-017-450,Tuberias,Tuberia,HDPE,450,18,PN10,TF,35.76,kg/m,,,"TUBERIA HDPE TF DE/DN 450 mm (18"") PN10 L = 12 m"
01-03-001-017-500,Tuberias,Tuberia,HDPE,500,20,PN10,TF,44.18,kg/m,,,"TUBERIA HDPE TF DE/DN 500 mm (20"") PN10 L = 12 m"
01-03-001-017-560,Tuberias,Tuberia,HDPE,560,22,PN10,TF,55.34,kg/m,,,"TUBERIA HDPE TF DE/DN 560 mm (22"") PN10 L = 12 m"
01-03-001-017-630,Tuberias,Tuberia,HDPE,630,24,PN10,TF,70.1,kg/m,,,"TUBERIA HDPE TF DE/DN 630 mm (24"") PN10 L = 12 m"
01-03-001-011-020,Tuberias,Tuberia,HDPE,20,1/2,PN16,TF,0.12,kg/m,,,"TUBERIA HDPE TF DE/DN 20 mm (1/2"") PN16 L = 12 m"
01-03-001-011-025,Tuberias,Tuberia,HDPE,25,3/4,PN16,TF,0.17,kg/m,,,"TUBERIA HDPE TF DE/DN 25 mm (3/4"") PN16 L = 12 m"
01-03-001-011-032,Tuberias,Tuberia,HDPE,32,1,PN16,TF,0.28,kg/m,,,"TUBERIA HDPE TF DE/DN 32 mm (1"") PN16 L = 12 m"
01-03-001-011-040,Tuberias,Tuberia,HDPE,40,1 1/4,PN16,TF,0.43,kg/m,,,"TUBERIA HDPE TF DE/DN 40 mm (1 1/4"") PN16 L = 12 m"
01-03-001-011-050,Tuberias,Tuberia,HDPE,50,1 1/2,PN16,TF,0.67,kg/m,,,"TUBERIA HDPE TF DE/DN 50 mm (1 1/2"") PN16 L = 12 m"
01-03-001-011-063,Tuberias,Tuberia,HDPE,63,2,PN16,TF,1.05,kg/m,128244.0,Megacenter,"TUBERIA HDPE TF DE/DN 63 mm (2"") PN16 L = 12 m"
01-03-001-011-075,Tuberias,Tuberia,HDPE,75,2 1/2,PN16,TF,1.47,kg/m,35604.0,Impofusion,"TUBERIA HDPE TF DE/DN 75 mm (2 1/2"") PN16 L = 12 m"
01-03-001-011-090,Tuberias,Tuberia,HDPE,90,3,PN16,TF,2.13,kg/m,242244.0,Megacenter,"TUBERIA HDPE TF DE/DN 90 mm (3"") PN16 L = 12 m"
01-03-001-011-110,Tuberias,Tuberia,HDPE,110,4,PN16,TF,3.16,kg/m,76248.0,Impofusion,"TUBERIA HDPE TF DE/DN 110 mm (4"") PN16 L = 12 m"
